Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Global Thematic Programs,Private,Initial Meetings,7/2/2024,Dollor,5987.765136,47332.68775,ORR Non-Thematic,Data and Child Protection,Emergency Response,HAC-UKRAINE,,Natcom c,9954.067503,,,Hungary,,,,96952.13273,11629798,Central Government,Private Sector,,SERBIA CO,ECARO,Serbia,,,MENARO,7/2/2024,SERBIA CO,World Bank - Washington D.C.,HUN,Hungary,Natcom c,Private,Other Resources Emergency,SP,R1,Protecting,ECA,2023,Private
Development Initiatives,Private,Initial Meetings,5/5/2024,Dollor,70052.88935,70943.05663,ORR Non-Thematic,Cross-sectoral Adolescent Development,Increased Immunization Rates,Ukraine Response,,Natcom A,82187.40898,,,Iceland,,,,7271.604619,17030201,Women's and diaspora organizations,Private Sector,,DENMARK NATCOM,WCARO,Russian Federation,,,HQ,5/5/2024,US FUND,African Development Bank (AfDB),ISL,Iceland,Natcom A,EU,Other Resources Emergency,Education,R5,Protecting,ECA,2024,Private
Development Initiatives,Private,Negotiating/Contracting,10/21/2024,Dollor,33543.37277,87162.68973,ORR Non-Thematic,"Field office oversight, management and operations support",Child Protection,Ukraine Response,,Natcom A,99600.60883,,,India,,,,80158.80816,39986886,Membership based organizations,UNICEF NatCom/CO/Division,,SENEGAL CO,HQ,Albania,,,ECARO,10/21/2024,KYRGYZSTAN CO,African Development Bank (AfDB),IND,India,Natcom A,EU,Other Resources Regular,Education,R4,Connecting,ROSA,2023,Private
Advocacy and Policy Support,Public,Initial Meetings,6/25/2024,Dollor,11704.70088,85420.86605,ORE-Thematic,Health systems strengthening,Emergency Response,Ukraine Response,,ECHO,13156.55495,,,Indonesia,,,,24858.41167,25098825,Account Category,Private Sector,,KYRGYZSTAN CO,HQ,Switzerland,,,HQ,6/25/2024,PPD,European Investment Bank,IDN,Indonesia,ECHO,EU,Other Resources Regular,Education,R4,Protecting,EAPRO,2023,Private
Innovation and Research Grants,Private,Initial Meetings,2/15/2024,Dollor,15314.09352,61682.26835,Revenue Type,Capital investments,Education,HAC-ECARO,,C,64750.91126,,,Iran (Islamic Republic of),,,,96949.38585,11861508,Other,Private Sector,,ARMENIA CO,HQ,Tajikistan,,,MENARO,2/15/2024,KYRGYZSTAN CO,Unilever,IRN,Iran (Islamic Republic of),C,Bilateral,Other Resources Regular,Education,R3,Protecting,MENA,2024,Private
Global Thematic Programs,Private,Negotiating/Contracting,3/1/2024,Dollor,85532.19165,87057.3535,ORE-Thematic,Emergencies,Advocacy,HAC-ECARO,,Natcom A,38134.53437,,,Iraq,,,,60985.04019,25887934,Corporate,Private Sector,,INDIA CO,HQ,Belarus,,,ESARO,3/1/2024,ROMANIA CO,World Bank - Washington D.C.,IRQ,Iraq,Natcom A,Private,Other Resources Regular,ADAP,R3,Learning,MENA,2023,Private
Advocacy and Policy Support,Public,Secured/Won,6/20/2024,Dollor,88173.8532,73154.20189,Revenue Type,ACT-A/COVAX Pillar 4: RCCE,Advocacy,Ukraine Response,,Natcom A,50943.28264,,,Ireland,,,,4210.953092,13662122,Membership based organizations,Public Sector,,US FUND,EAPRO,Cyprus,,,ESARO,6/20/2024,ALBANIA CO,Bureau for Humanitarian Assistance,IRL,Ireland,Natcom A,Bilateral,Other Resources Emergency,Education,R3,Protecting,ECA,2022,Private
Development Initiatives,Private,Initial Meetings,4/12/2024,Dollor,53584.57767,82187.32207,ORE-Thematic,Micronutrients,Advocacy,HAC-UKRAINE,,G,66390.65963,,,Israel,,,,82716.61436,15236151,Multi-Stakeholder Partnership,Private Sector,,KYRGYZSTAN CO,ROSA,Tajikistan,,,MENARO,4/12/2024,ALBANIA CO,The United Kingdom,ISR,Israel,G,Private,Other Resources Emergency,ADAP,R3,Connecting,MENA,2022,Private
Development Initiatives,Private,Initial Meetings,1/8/2024,Dollor,26312.10554,10502.27581,Revenue Type,Special Purpose,Emergency Response,HAC-ECARO,,EU ECHO,90070.83248,,,Italy,,,,12007.56546,4949163,University/Education Org.,UNICEF NatCom/CO/Division,,UZBEKISTAN CO,HQ,Albania,,,ECARO,1/8/2024,TURKIYE NATCOM,European Investment Bank,ITA,Italy,EU ECHO,Private,Other Resources Emergency,ADAP,R5,Protecting,ECA,2023,Private
Innovation and Research Grants,Public,Negotiating/Contracting,1/15/2024,Dollor,62135.69614,83229.02881,ORR Non-Thematic,Health – General,Advocacy,Ukraine Response,,G,52527.53931,,,Jamaica,,,,94684.53529,22906992,Governmental Organization,Private Sector,,UK NATCOM,WCARO,Serbia,,,ESARO,1/15/2024,ECARO,Unilever,JAM,Jamaica,G,Bilateral,Other Resources Emergency,Child Protection,R4,Learning,LACRO,2024,Private
Humanitarian Funding,Private,Secured/Won,6/18/2024,Dollor,30639.43725,12997.29066,ORE-Thematic,Sanitation,Health,Ukraine Response,,Natcom d,55339.31963,,,Japan,,,,67052.43061,19132485,IFI/RDB,Private Sector,,ARMENIA CO,NatCom,Ukraine,,,NatCom,6/18/2024,ARMENIA CO,World Bank - Washington D.C.,JPN,Japan,Natcom d,Private,Other Resources Regular,WASH,R3,Protecting,EAPRO,2024,Private
Innovation and Research Grants,Public,Initial Meetings,6/5/2024,Dollor,47951.11528,84884.36982,ORE-Thematic,Gender Equality General,Advocacy,HAC-UKRAINE,,Natcom A,22406.08511,,,Jordan,,,,53275.91869,37029960,Multi-Stakeholder Partnership,Private Sector,,MONTENEGRO CO,ROSA,Japan,,,ECARO,6/5/2024,TURKIYE CO,World Bank - Washington D.C.,JOR,Jordan,Natcom A,Private,Other Resources Regular,Education,R1,Protecting,MENA,2022,Private
Development Initiatives,Private,Negotiating/Contracting,7/28/2024,Dollor,89934.23439,42880.74235,Revenue Type,Innovation,Education,Ukraine Response,,ECHO,75957.29406,,,Kazakhstan,,,,28988.12664,16726210,Account Category,Private Sector,,ARMENIA CO,NatCom,Russian Federation,,,NatCom,7/28/2024,ROMANIA CO,European Investment Bank,KAZ,Kazakhstan,ECHO,EU,Other Resources Emergency,SP,R1,Protecting,ECA,2023,Private
Emergency Response,Public,Initial Meetings,5/30/2024,Dollor,77666.29922,67215.73112,ORR Non-Thematic,"Policy advocacy – urban, civil society, parliament, environment",Child Protection,HAC-UKRAINE,,ECHO,16916.77351,,,Kenya,,,,90951.25815,5263320,Corporate,Private Sector,,KOSOVO CO,MENARO,Armenia,,,MENARO,5/30/2024,LEBANON CO,Unilever,KEN,Kenya,ECHO,Bilateral,Other Resources Regular,CP,R3,Thriving,SSA,2023,Private
Innovation and Research Grants,Private,Secured/Won,2/21/2024,Dollor,98746.51289,29027.77141,Revenue Type,Health – General,Health,Emergency/HAC,,C,14996.17143,,,Kiribati,,,,95896.33367,35476142,Multi-Stakeholder Partnership,Private Sector,,KYRGYZSTAN CO,ROSA,Netherlands,,,HQ,2/21/2024,CROATIA CO,African Development Bank (AfDB),KIR,Kiribati,C,EU,Other Resources Emergency,CP,R3,Learning,EAPRO,2023,Private
Partnership Funding,Private,Negotiating/Contracting,9/30/2024,Dollor,26091.16846,10033.04047,Revenue Type,Sanitation,Advocacy,HAC-ECARO,,Natcom d,5881.067147,,,Kuwait,,,,52525.54609,37451357,Membership based organizations,UNICEF NatCom/CO/Division,,PPD,MENARO,Serbia,,,ESARO,9/30/2024,TURKIYE CO,World Bank - Washington D.C.,KWT,Kuwait,Natcom d,Private,Other Resources Emergency,SP,R4,Protecting,MENA,2023,Private
Humanitarian Funding,Private,Secured/Won,6/29/2024,Dollor,84726.16228,19239.66894,ORR Non-Thematic,Equity – focus on girls’ and inclusive education,Increased Immunization Rates,Ukraine Response,,C,36539.45773,,,Kyrgyzstan,,,,43645.61422,25452684,Foundation,Private Sector,,PPD,ECARO,Albania,,,ESARO,6/29/2024,GREECE CO,Unilever,KGZ,Kyrgyzstan,C,Bilateral,Other Resources Emergency,Child Protection,R4,Thriving,ECA,2023,Private
Country Programmes,Public,Secured/Won,9/2/2024,Dollor,50360.5773,62984.208,ORE-Thematic,Cross-Sectoral unearmarked,Advocacy,HAC-STATE OF PALESTINE,,C,3745.500251,,,Lao People's Democratic Republic,,,,69211.74966,5737784,Non-Profit/NGO Foundations,Private Sector,,SERBIA CO,WCARO,Uzbekistan,,,NatCom,9/2/2024,KYRGYZSTAN CO,The United Kingdom,LAO,Lao People's Democratic Republic,C,Private,Other Resources Emergency,SP,R1,Connecting,EAPRO,2022,Private
Country Programmes,Public,Secured/Won,11/5/2024,Dollor,20017.17495,23725.82237,ORE-Thematic,WASH in Schools and ECD centres,Education,HAC-ARMENIA,,ECHO,83027.33229,,,Latvia,,,,6086.632204,22366200,Corporate,Private Sector,,GEORGIA CO,HQ,France,,,NatCom,11/5/2024,SERBIA CO,Unilever,LVA,Latvia,ECHO,Bilateral,Other Resources Regular,Education,R3,Learning,ECA,2024,Private
Country Programmes,Public,Initial Meetings,8/23/2024,Dollor,70196.54446,57852.75081,ORR Non-Thematic,Oversight and assurance,Advocacy,Ukraine Response,,Natcom d,67559.68981,,,Lebanon,,,,91009.5518,19145040,Central Government,UNICEF NatCom/CO/Division,,GEORGIA CO,HQ,Croatia,,,ECARO,8/23/2024,GREECE CO,World Bank - Washington D.C.,LBN,Lebanon,Natcom d,Private,Other Resources Emergency,Child Protection,R3,Thriving,MENA,2023,Private
Innovation and Research Grants,Private,Negotiating/Contracting,8/8/2024,Dollor,46860.15533,62816.65521,Revenue Type,"Violence, exploitation and abuse",Emergency Response,HAC-STATE OF PALESTINE,,Natcom A,19903.95863,,,Lesotho,,,,3345.150893,4992515,Corporate Foundation,Private Sector,,BELARUS CO,EAPRO,Ukraine,,,MENARO,8/8/2024,TURKIYE CO,World Bank - Washington D.C.,LSO,Lesotho,Natcom A,Private,Other Resources Emergency,SP,R3,Learning,SSA,2024,Private
Emergency Response,Public,Negotiating/Contracting,3/17/2024,Dollor,43491.47184,71568.00378,ORE-Thematic,Equity – focus on girls’ and inclusive education,Child Protection,HAC-STATE OF PALESTINE,,G,40025.58048,,,Liberia,,,,32112.54726,5394586,Other,Private Sector,,KOSOVO CO,EAPRO,Switzerland,,,ESARO,3/17/2024,ALBANIA CO,Unilever,LBR,Liberia,G,Bilateral,Other Resources Emergency,CP,R5,Learning,SSA,2024,Private
Innovation and Research Grants,Public,Initial Meetings,5/14/2024,Dollor,27982.85747,58603.95725,ORE-Thematic,WASH – General,Education,Ukraine Response,,EU ECHO,62567.47574,,,Libya,,,,51027.21373,35572150,Central Government,Private Sector,,TURKIYE NATCOM,EAPRO,Tajikistan,,,NatCom,5/14/2024,UZBEKISTAN CO,European Investment Bank,LBY,Libya,EU ECHO,Private,Other Resources Regular,CP,R1,Thriving,MENA,2022,Private
Advocacy and Policy Support,Public,Secured/Won,4/17/2024,Dollor,80801.99941,96966.13946,ORE-Thematic,Cross-sectoral Communication for Development,Emergency Response,HAC-UKRAINE,,ECHO,30798.49937,,,Liechtenstein,,,,44026.66434,34818424,UN Agency/International Agency,Private Sector,,TURKIYE NATCOM,WCARO,Ukraine,,,ESARO,4/17/2024,PPD,Unilever,LIE,Liechtenstein,ECHO,Bilateral,Other Resources Emergency,ADAP,R1,Protecting,ECA,2024,Private
Emergency Response,Public,Initial Meetings,11/7/2024,Dollor,35260.2636,1594.788277,Revenue Type,Child Protection – General,Education,Emergency/HAC,,G,43406.42314,,,Lithuania,,,,5313.838746,3729029,Non-Profit/NGO Foundations,Private Sector,,KOSOVO CO,ECARO,Switzerland,,,HQ,11/7/2024,TAJIKISTAN CO,African Development Bank (AfDB),LTU,Lithuania,G,EU,Other Resources Emergency,SP,R4,Including,ECA,2023,Private
Emergency Response,Public,Initial Meetings,6/5/2024,Dollor,52145.5875,50861.18961,ORE-Thematic,Transparency in information and official documents,Increased Immunization Rates,Emergency/HAC,,Natcom c,51526.39128,,,Luxembourg,,,,32978.88516,27856523,Multi-Stakeholder Partnership,Private Sector,,GEORGIA CO,ROSA,Cyprus,,,HQ,6/5/2024,CROATIA CO,Bill & Melinda Gates Foundation,LUX,Luxembourg,Natcom c,Bilateral,Other Resources Emergency,ADAP,R3,Protecting,ECA,2023,Private
Development Initiatives,Private,Initial Meetings,8/29/2024,Dollor,78766.78225,65245.48385,ORE-Thematic,Human resources management,Emergency Response,HAC-ARMENIA,,C,30853.52956,,,Madagascar,,,,38730.20093,26401167,Multi-Stakeholder Partnership,Private Sector,,GREECE CO,WCARO,Russian Federation,,,HQ,8/29/2024,KYRGYZSTAN CO,The United Kingdom,MDG,Madagascar,C,Private,Other Resources Emergency,ADAP,R2,Thriving,SSA,2022,Private
Innovation and Research Grants,Public,Secured/Won,8/31/2024,Dollor,58944.46417,33212.19687,ORR Non-Thematic,Data and Child Protection,Child Protection,HAC-STATE OF PALESTINE,,Natcom c,59066.50562,,,Malawi,,,,34003.01611,6246163,Ministry,Public Sector,,INNOVATION UNIT,ROSA,United States,,,ECARO,8/31/2024,TURKIYE NATCOM,USA (State) BPRM,MWI,Malawi,Natcom c,Bilateral,Other Resources Regular,CP,R2,Thriving,SSA,2023,Private
Humanitarian Funding,Private,Secured/Won,1/26/2024,Dollor,24112.05991,39329.48838,Revenue Type,Nutrition – General,Education,HAC-UKRAINE,,ECHO,97661.51592,,,Malaysia,,,,39167.54292,4103579,Corporate Foundation,Corporate Account,,MOLDOVA CO,ROSA,Greece,,,MENARO,1/26/2024,SOMALIA CO,European Investment Bank,MYS,Malaysia,ECHO,Private,Other Resources Emergency,CP,R1,Learning,EAPRO,2024,Private
Development Initiatives,Private,Negotiating/Contracting,10/27/2024,Dollor,6235.949965,48739.69217,ORR Non-Thematic,Cross-Sectoral unearmarked,Increased Immunization Rates,HAC-ECARO,,Natcom d,13172.07428,,,Maldives,,,,40514.05737,6297960,Other,UNICEF NatCom/CO/Division,,DENMARK NATCOM,NatCom,Russian Federation,,,NatCom,10/27/2024,SERBIA CO,African Development Bank (AfDB),MDV,Maldives,Natcom d,EU,Other Resources Regular,SP,R3,Learning,ROSA,2023,Private
Humanitarian Funding,Private,Secured/Won,6/9/2024,Dollor,23655.59383,30167.83746,ORR Non-Thematic,Birth registration,Education,HAC-STATE OF PALESTINE,,ECHO,57119.68306,,,Mali,,,,96018.75029,24000712,IFI/RDB,Private Sector,,SERBIA CO,EAPRO,Russian Federation,,,NatCom,6/9/2024,SERBIA CO,European Investment Bank,MLI,Mali,ECHO,Private,Other Resources Regular,WASH,R4,Including,SSA,2022,Private
Partnership Funding,Private,Initial Meetings,1/23/2024,Dollor,18764.21139,30353.85882,Revenue Type,Care and Treatment of Children affected by HIV and AIDS,Child Protection,HAC-UKRAINE,,Natcom d,67158.98222,,,Malta,,,,61569.15699,6950059,Non-Profit/NGO Foundations,Private Sector,,BULGARIA CO,EAPRO,Ukraine,,,HQ,1/23/2024,MOLDOVA CO,African Development Bank (AfDB),MLT,Malta,Natcom d,EU,Other Resources Emergency,ADAP,R1,Learning,ECA,2023,Private
Emergency Response,Public,Secured/Won,8/16/2024,Dollor,33321.08488,10577.71765,Revenue Type,Nutrition – General,Emergency Response,HAC-ARMENIA,,EU ECHO,18663.54529,,,Marshall Islands,,,,32572.57623,32727443,Membership based organizations,Private Sector,,SERBIA CO,HQ,Albania,,,ESARO,8/16/2024,TURKIYE NATCOM,European Investment Bank,MHL,Marshall Islands,EU ECHO,EU,Other Resources Regular,Child Protection,R4,Connecting,EAPRO,2023,Private
Innovation and Research Grants,Private,Initial Meetings,8/26/2024,Dollor,21902.73932,46360.53153,Revenue Type,Climate Change,Child Protection,Emergency/HAC,,Natcom c,68269.10692,,,Mauritania,,,,16288.18479,12288006,Country Office,UNICEF NatCom/CO/Division,,CROATIA CO,ECARO,United States,,,NatCom,8/26/2024,GREECE CO,Bill & Melinda Gates Foundation,MRT,Mauritania,Natcom c,Bilateral,Other Resources Emergency,Health,R2,Connecting,SSA,2024,Private
Development Initiatives,Private,Secured/Won,6/6/2024,Dollor,44388.32217,80050.89605,ORE-Thematic,Building capacity for Evaluation,Child Protection,HAC-ARMENIA,,EU ECHO,94723.38938,,,Mauritius,,,,75071.48959,3682263,Corporate Foundation,Private Sector,,GREECE CO,WCARO,Ukraine,,,ESARO,6/6/2024,UZBEKISTAN CO,Bureau for Humanitarian Assistance,MUS,Mauritius,EU ECHO,Bilateral,Other Resources Emergency,WASH,R2,Learning,SSA,2024,Private
Partnership Funding,Private,Secured/Won,8/8/2024,Dollor,60666.27837,17673.00931,ORE-Thematic,digital workspace for visual collaboration,Education,HAC-ECARO,,C,50723.96218,,,Mexico,,,,25320.22713,32993617,Ministry,Private Sector,,UK NATCOM,NatCom,Armenia,,,ESARO,8/8/2024,TAJIKISTAN CO,The United Kingdom,MEX,Mexico,C,Private,Other Resources Emergency,ADAP,R2,Protecting,LACRO,2022,Private
Humanitarian Funding,Private,Initial Meetings,4/18/2024,Dollor,1442.656763,94184.52053,Revenue Type,UNICEF capacity for programming on Gender,Emergency Response,HAC-UKRAINE,,G,26574.27928,,,Micronesia (Federated States of),,,,91549.29926,22196228,Global/Regional Multilaterals,Private Sector,,DENMARK NATCOM,HQ,Denmark,,,HQ,4/18/2024,MOLDOVA CO,The United Kingdom,FSM,Micronesia (Federated States of),G,Private,Other Resources Emergency,Education,R5,Connecting,EAPRO,2022,Private
Partnership Funding,Private,Negotiating/Contracting,7/15/2024,Dollor,66557.45027,2588.9191,ORR Non-Thematic,Education – General,Education,Emergency/HAC,,Natcom A,29170.80651,,,Monaco,,,,49619.45118,17002845,Sport Associations,Corporate Account,,CHINA CO,NatCom,Belarus,,,HQ,7/15/2024,TURKIYE NATCOM,Bureau for Humanitarian Assistance,MCO,Monaco,Natcom A,Bilateral,Other Resources Emergency,SP,R4,Connecting,ECA,2022,Private
Country Programmes,Public,Initial Meetings,9/10/2024,Dollor,40906.4116,77669.56739,ORE-Thematic,Economic and social policy general,Emergency Response,HAC-ECARO,,Natcom c,1464.019138,,,Mongolia,,,,87054.79676,12167784,Corporate,UNICEF NatCom/CO/Division,,UKRAINE CO,WCARO,Russian Federation,,,NatCom,9/10/2024,MONTENEGRO CO,World Bank - Washington D.C.,MNG,Mongolia,Natcom c,Private,Other Resources Emergency,Health,R2,Connecting,EAPRO,2023,Private
Emergency Response,Public,Secured/Won,6/2/2024,Dollor,77613.60823,99445.79044,Revenue Type,Child Protection and emergencies,Advocacy,Emergency/HAC,,ECHO,85956.88451,,,Montenegro,,,,43417.35273,24997330,Governmental Organization,Corporate Account,,UZBEKISTAN CO,ROSA,Ukraine,,,NatCom,6/2/2024,US FUND,European Investment Bank,MNE,Montenegro,ECHO,EU,Other Resources Emergency,SP,R1,Thriving,ECA,2022,Private
Country Programmes,Public,Secured/Won,3/19/2024,Dollor,55838.70077,45152.64682,ORE-Thematic,Child Protection systems,Advocacy,HAC-UKRAINE,,Natcom c,16102.51633,,,Montserrat,,,,70003.09645,34937345,IFI/RDB,Public Sector,,TURKIYE NATCOM,NatCom,France,,,ESARO,3/19/2024,SERBIA CO,USA (State) BPRM,MSR,Montserrat,Natcom c,Bilateral,Other Resources Regular,CP,R2,Protecting,LACRO,2024,Private
Global Thematic Programs,Private,Initial Meetings,9/6/2024,Dollor,85676.88194,45047.35406,ORR Non-Thematic,Community-based management of acute malnutrition,Emergency Response,HAC-ECARO,,C,17848.44774,,,Morocco,,,,62737.53329,38832766,Foundation,Private Sector,,UKRAINE CO,EAPRO,Montenegro,,,ECARO,9/6/2024,ALBANIA CO,African Development Bank (AfDB),MAR,Morocco,C,EU,Other Resources Regular,Child Protection,R5,Including,MENA,2024,Private
Emergency Response,Public,Initial Meetings,10/29/2024,Dollor,83093.45582,6895.352123,ORR Non-Thematic,"Cross-sectoral monitoring, data and situation analyses",Child Protection,HAC-ARMENIA,,EU ECHO,10241.72091,,,Mozambique,,,,6647.22208,39316878,University/Education Org.,Public Sector,,INDIA CO,EAPRO,France,,,ECARO,10/29/2024,TURKIYE NATCOM,European Investment Bank,MOZ,Mozambique,EU ECHO,EU,Other Resources Emergency,WASH,R2,Thriving,SSA,2023,Private
Global Thematic Programs,Private,Negotiating/Contracting,11/17/2024,Dollor,37640.41225,84137.24733,Revenue Type,Hygiene,Health,Ukraine Response,,Natcom d,88327.19723,,,Myanmar,,,,81295.34154,17620372,Membership based organizations,Private Sector,,QATAR CO,MENARO,Bulgaria,,,ECARO,11/17/2024,UZBEKISTAN CO,Bureau for Humanitarian Assistance,MMR,Myanmar,Natcom d,Bilateral,Other Resources Regular,CP,R1,Protecting,EAPRO,2024,Private
Innovation and Research Grants,Public,Initial Meetings,5/3/2024,Dollor,76323.94972,75264.59831,Revenue Type,Community-based management of acute malnutrition,Increased Immunization Rates,HAC-STATE OF PALESTINE,,G,93871.02064,,,Namibia,,,,51835.1269,6334204,Governmental Organization,Private Sector,,FRANCE NATCOM,EAPRO,Bulgaria,,,MENARO,5/3/2024,CROATIA CO,The United Kingdom,NAM,Namibia,G,Private,Other Resources Emergency,Child Protection,R5,Connecting,SSA,2024,Private
Innovation and Research Grants,Private,Secured/Won,9/5/2024,Dollor,39979.6982,46473.95354,Revenue Type,Health – General,Advocacy,Emergency/HAC,,Natcom d,26070.48858,,,Nauru,,,,71305.15889,33571469,Foundation,Public Sector,,SENEGAL CO,ECARO,Russian Federation,,,ECARO,9/5/2024,CROATIA CO,African Development Bank (AfDB),NRU,Nauru,Natcom d,EU,Other Resources Regular,SP,R5,Including,EAPRO,2024,Private
Country Programmes,Public,Secured/Won,2/8/2024,Dollor,10079.18787,32399.69568,Revenue Type,Education – General,Increased Immunization Rates,HAC-ECARO,,ECHO,70387.60988,,,Nepal,,,,45044.738,21503325,Corporate,Public Sector,,GEORGIA CO,ECARO,Denmark,,,NatCom,2/8/2024,US FUND,European Investment Bank,NPL,Nepal,ECHO,EU,Other Resources Emergency,SP,R4,Connecting,ROSA,2024,Private
Global Thematic Programs,Private,Secured/Won,2/21/2024,Dollor,52457.4799,72012.77245,Revenue Type,Cross-Sectoral unearmarked,Health,HAC-STATE OF PALESTINE,,Natcom d,47397.24416,,,Netherlands,,,,45008.98239,37628942,Governmental Organization,Public Sector,,GEORGIA CO,ECARO,United States,,,ECARO,2/21/2024,CROATIA CO,Bureau for Humanitarian Assistance,NLD,Netherlands,Natcom d,Bilateral,Other Resources Regular,CP,R4,Learning,ECA,2022,Private
Global Thematic Programs,Private,Secured/Won,7/19/2024,Dollor,21505.39224,77382.79854,Revenue Type,Gender Equality,Child Protection,Emergency/HAC,,Natcom A,634.7797544,,,New Zealand,,,,28700.83501,35714441,Corporate,Public Sector,,SENEGAL CO,MENARO,Belarus,,,ESARO,7/19/2024,MOLDOVA CO,Bureau for Humanitarian Assistance,NZL,New Zealand,Natcom A,Bilateral,Other Resources Regular,ADAP,R4,Connecting,EAPRO,2023,Private
Country Programmes,Public,Secured/Won,1/11/2024,Dollor,26840.15561,49214.8354,ORR Non-Thematic,Health systems strengthening,Increased Immunization Rates,HAC-STATE OF PALESTINE,,G,77923.09771,,,Nicaragua,,,,4913.783373,39777666,Non-Profit/NGO Foundations,Private Sector,,TURKIYE NATCOM,MENARO,Netherlands,,,HQ,1/11/2024,ALBANIA CO,Unilever,NIC,Nicaragua,G,Bilateral,Other Resources Emergency,CP,R4,Protecting,LACRO,2024,Private
Humanitarian Funding,Private,Initial Meetings,7/29/2024,Dollor,64970.79629,52414.59605,Revenue Type,Early Childhood Development,Health,HAC-STATE OF PALESTINE,,ECHO,82185.26011,,,Niger,,,,24043.55404,19497230,Other,UNICEF NatCom/CO/Division,,MOLDOVA CO,WCARO,Bulgaria,,,ECARO,7/29/2024,SOMALIA CO,Unilever,NER,Niger,ECHO,Bilateral,Other Resources Regular,SP,R5,Learning,SSA,2023,Private
Innovation and Research Grants,Private,Initial Meetings,4/3/2024,Dollor,85636.91274,92946.96383,ORE-Thematic,"Cross-sectoral monitoring, data and situation analyses",Advocacy,HAC-ECARO,,Natcom A,75561.9683,,,Nigeria,,,,83387.22632,38229595,Account Category,Private Sector,,CHINA CO,NatCom,Cyprus,,,ESARO,4/3/2024,ROMANIA CO,World Bank - Washington D.C.,NGA,Nigeria,Natcom A,Private,Other Resources Regular,Health,R3,Learning,SSA,2024,Private
Humanitarian Funding,Private,Negotiating/Contracting,5/1/2024,Dollor,24070.49476,6824.626173,ORR Non-Thematic,Transparency in information and official documents,Child Protection,HAC-ECARO,,G,93847.14251,,,Niue,,,,4300.210802,25156788,Corporate,Corporate Account,,MONTENEGRO CO,ROSA,Netherlands,,,ESARO,5/1/2024,MOLDOVA CO,African Development Bank (AfDB),NIU,Niue,G,EU,Other Resources Emergency,ADAP,R2,Thriving,EAPRO,2023,Private
Development Initiatives,Private,Initial Meetings,11/4/2024,Dollor,50499.60155,19451.88915,ORR Non-Thematic,Cross-sectoral planning and programme reviews,Health,HAC-STATE OF PALESTINE,,C,47953.55424,,,Norway,,,,75130.67053,12129661,Women's and diaspora organizations,Private Sector,,KOSOVO CO,EAPRO,France,,,MENARO,11/4/2024,KOSOVO CO,The United Kingdom,NOR,Norway,C,Private,Other Resources Emergency,Education,R4,Protecting,ECA,2023,Private
Advocacy and Policy Support,Public,Secured/Won,7/24/2024,Dollor,54980.99809,97252.41857,ORE-Thematic,Nutrition – General,Increased Immunization Rates,HAC-ARMENIA,,G,6392.606531,,,Oman,,,,95020.00373,23269104,Central Government,Private Sector,,KOSOVO CO,WCARO,Belarus,,,MENARO,7/24/2024,KYRGYZSTAN CO,Unilever,OMN,Oman,G,Bilateral,Other Resources Emergency,SP,R1,Learning,MENA,2022,Private
Development Initiatives,Private,Negotiating/Contracting,11/30/2024,Dollor,19303.05747,7229.562607,ORR Non-Thematic,Immunization,Child Protection,Ukraine Response,,Natcom c,73894.68215,,,Pakistan,,,,41427.20316,28740622,Women's and diaspora organizations,Corporate Account,,KYRGYZSTAN CO,WCARO,Switzerland,,,MENARO,11/30/2024,PPD,USA (State) BPRM,PAK,Pakistan,Natcom c,Bilateral,Other Resources Regular,CP,R1,Learning,ROSA,2022,Private
Emergency Response,Public,Initial Meetings,8/22/2024,Dollor,21732.89827,36095.91772,ORR Non-Thematic,Saving lives and protecting rights in humanitarian situations,Emergency Response,HAC-ARMENIA,,Natcom c,61643.09814,,,Palau,,,,79904.70755,14552949,Multi-Stakeholder Partnership,Private Sector,,UKRAINE CO,WCARO,Moldova,,,MENARO,8/22/2024,MOLDOVA CO,USA (State) BPRM,PLW,Palau,Natcom c,Bilateral,Other Resources Regular,ADAP,R5,Including,EAPRO,2023,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,3/21/2024,Dollor,71048.51037,35562.12274,ORR Non-Thematic,Innovation,Increased Immunization Rates,HAC-ECARO,,G,7723.159806,,,Panama,,,,57634.99769,23100169,Multi-Stakeholder Partnership,Public Sector,,ARMENIA CO,ROSA,Switzerland,,,HQ,3/21/2024,TAJIKISTAN CO,Unilever,PAN,Panama,G,Bilateral,Other Resources Regular,Health,R1,Connecting,LACRO,2023,Private
